UnitNameValue	GIMPTemplate	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	SectorialSymbol	SectorialAVA	SectorialLinkable	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Ability3Title	Ability3Text	Ability4Title	Ability4Text	Ability5Title	Ability5Text	Ability6Title	Ability6Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value	InactiveMOVValue	InactiveCCValue	InactiveBSValue	InactivePHValue	InactiveWIPValue	InactiveARMValue	InactiveBTSValue	InactiveWValue
Daylami Infantry	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	0	9														Rifle	Light Shotgun	Knife	Pistol											
Daylami Infantry - Camo+Rocket	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	1	14	CH: Limited Camouflage, Inferior Infiltration	CH: Limited Camouflage	The trooper possesses the CH: Camouflage Special Skill but lacks the possibility of Camouflaging Again. So, once Discovered, or if he reveals himself, he will lose this Special Skill and he cannot camouflage again or use any other advantages given by CH: Camouflage or CH: Mimetism (Except if he possesses also the CH: Mimetism Special Skill, then it can keep using it).  	 Inferior Infiltration	It is compulsory that the figure must be deployed outside his Deployment Zone, but always inside the enemy's half of the table. So, the roll to Infiltrate will be, at minimum, PH-1. Figures with the Inferior Infiltration Special Skill must ALWAYS be deployed in this way and may not be deployed as if they did not have the skill. If the roll is failed, the Dispersion rule must be applied and the Camouflaged Deployment and Hidden Deployment advantages will be lost. Figures with Inferior Infiltration cannot be placed inside the enemy's Deployment Zone, even when Dispersion is applied.  	 								Panzerfaust	Rifle	Light Shotgun	Knife	Pistol										
Daylami Infantry - Camo	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	0	11	CH: Limited Camouflage, Inferior Infiltration	CH: Limited Camouflage	The trooper possesses the CH: Camouflage Special Skill but lacks the possibility of Camouflaging Again. So, once Discovered, or if he reveals himself, he will lose this Special Skill and he cannot camouflage again or use any other advantages given by CH: Camouflage or CH: Mimetism (Except if he possesses also the CH: Mimetism Special Skill, then it can keep using it).  	 Inferior Infiltration	It is compulsory that the figure must be deployed outside his Deployment Zone, but always inside the enemy's half of the table. So, the roll to Infiltrate will be, at minimum, PH-1. Figures with the Inferior Infiltration Special Skill must ALWAYS be deployed in this way and may not be deployed as if they did not have the skill. If the roll is failed, the Dispersion rule must be applied and the Camouflaged Deployment and Hidden Deployment advantages will be lost. Figures with Inferior Infiltration cannot be placed inside the enemy's Deployment Zone, even when Dispersion is applied.  	 								Rifle	Light Shotgun	Knife	Pistol											
Daylami Infantry - HMG	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	0.5	17														HMG	Knife	Pistol												
Daylami Infantry - Grenadier	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	0.5	10														Rifle	Light GL	Knife	Pistol											
Daylami Infantry - Rocket	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	0.5	12														Panzerfaust	Rifle	Light Shotgun	Knife	Pistol										
Daylami Infantry - Lieutenant	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280423-0134.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Irregular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	5	No	4-4	13	10	10	13	1	0	1	T	3	9	Lieutenant	Lieutenant		 										Rifle	Light Shotgun	Knife	Pistol											
Ghulam	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280427-0155-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280427-0155.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	4	Yes	4-4	13	11	10	14	1	0	1	T	0	13														Rifle	Light Shotgun	Knife	Pistol											
Ghulam - Hacker	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280427-0155-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280427-0155.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	4	Yes	4-4	13	11	10	14	1	0	1	T	0.5	25	Hacker, Hacking Device	Hacker		 Hacking Device	This allows computer attacks to be performed against other systems and devices and also to defend against a cyberattack. See Hacker combat rules for details. All Hacking Devices are Repeaters for the other Hackers of the same army. . The Hacking Device Plus has an additional advanced system of Localization-Identification-Liaison that works as a Forward Observer, but only within the Hacker's, or his Repeater's, Zone of Control (8 inches): LoF with the enemy is not required. In order to mark a target with the Hacker Device Plus Forward Observer function, it is necessary to spend an Order and pass a WIP Roll. The target can react by Dodging the marking of the Forward Observer Hacking Device Plus, provided he has LoF.	 								Rifle	Light Shotgun	Knife	Pistol											
Ghulam - HMG	haqq.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280427-0155-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Haqqis\280427-0155.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Hassassin_Bahram_logo.png	4	Yes	4-4	13	11	10	14	1	0	1	T	1	21														HMG	Knife	Pistol												
