UnitNameValue	GIMPTemplate	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	SectorialSymbol	SectorialAVA	SectorialLinkable	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Ability3Title	Ability3Text	Ability4Title	Ability4Text	Ability5Title	Ability5Text	Ability6Title	Ability6Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value	InactiveMOVValue	InactiveCCValue	InactiveBSValue	InactivePHValue	InactiveWIPValue	InactiveARMValue	InactiveBTSValue	InactiveWValue
Morat Vanguard Infantry	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	0	16	Morat	Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 										Combi Rifle	Knife	Pistol												
Morat Vanguard Infantry - Hacker	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	0.5	28	Hacker, Hacking Device, Morat	Hacker		 Hacking Device	This allows computer attacks to be performed against other systems and devices and also to defend against a cyberattack. See Hacker combat rules for details. All Hacking Devices are Repeaters for the other Hackers of the same army. . The Hacking Device Plus has an additional advanced system of Localization-Identification-Liaison that works as a Forward Observer, but only within the Hacker's, or his Repeater's, Zone of Control (8 inches): LoF with the enemy is not required. In order to mark a target with the Hacker Device Plus Forward Observer function, it is necessary to spend an Order and pass a WIP Roll. The target can react by Dodging the marking of the Forward Observer Hacking Device Plus, provided he has LoF.	 Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 						Combi Rifle	Knife	Pistol												
Morat Vanguard Infantry - HMG	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	1	25	Morat	Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 										HMG	Knife	Pistol												
Morat Vanguard Infantry - Missile	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	1	32	Morat	Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 										Missile Launcher	Knife	Pistol												
Morat Vanguard Infantry - Grenadier	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	1	21	Morat	Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 										Light GL	Combi Rifle	Knife	Pistol											
Morat Vanguard Infantry - Sniper	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	1.5	30	Morat	Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 										MULTI Sniper Rifle	Knife	Pistol												
Morat Vanguard Infantry - Observer	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	0	19	Forward Observer, Morat	Forward Observer	Forward Observer is a Short Skill. A Forward Observer in LoF with an enemy will be able to mark him after passing a WIP roll (Face to Face, or Normal, depending on the case), modified by Covers, Distance, Camouflage and Hiding Special Skill, or an Optical Disruptor Device. Distance Modifiers for marking with Forward Observer are applied as per the following table: There are two types of attacks that can be made as a result of the marking by a Forward Observer:   Speculative: When the Forward Observer passes his WIP Roll, the target remains marked for any other comrade that wants to shoot at that target, and the Speculative Fire Modifier is not applied.   Guided: When the Forward Observer passes his WIP Roll the target will remain marked for any other comrade possessing a weapon with Guided Ammunition. This figure will be able to use the Short Skill Ballistic Skills to hit the marked miniature without a roll required, as the WIP Roll of the Observer substitutes.   A miniature marked by a Forward Observer will be considered as marked until the end of the turn of the player possessing the Observer that marked it. The special equipment of Forward Observers allows them to use the Flash Pulse.  	 Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 								Forward Observer	Flash Pulse	Combi Rifle	Knife	Pistol										
Morat Vanguard Infantry - Lieutenant	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	2	16	Lieutenant, Morat	Lieutenant		 Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 								Combi Rifle	Knife	Pistol												
Morat Vanguard Infantry - Paramedic	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280614-0114.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png		C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Sectorials\Morat_Aggression_Force_logo.png	T	Yes	4-4	14	11	12	13	1	0	1	T	0	20	MediKit, Morat	MediKit	This is a wound recovery medical device carried by all Paramedics. It is used to heal Unconscious miniatures. Using the MediKit is a Short Skill that requires a PH Roll with a -3 Modifier by the patient. If he fails his roll, he will immediately pass to the Dead state and will be removed from the game table. If he passes the roll, the patient recovers 1 Wound, automatically leaving the Unconscious state and contributing his Order again to the Orders Reserve of his army in the next active turn. With a MediKit, miniatures can be healed from the Unconscious state as many times as necessary, provided they pass their PH-3 Rolls. Human MediKits do not work on Aliens (Assault Packs, Dog-Warriors, etc.) and vice versa. The MediKit is the most frequent medical system of nano-injection on battlefields. There are several syringe models; the most modern being a device with the form of a gun, using a chamber with a magnetic coil. After introducing the nanotreatment cartridge and pulling the electric trigger, the magnetic field accelerator injects at high speed the medical nanobots suspended in the cartridge serum. Other versions of the MediKit are the hypo-spray, with a lower speed performance, or the archaic pneumatic pistols.  	 Morat	The Morat are the militarist race par excellence. Morat troops possess an ingrained feeling of belonging to their combat units. Their instruction and training have produced an attack force where an individual sense of duty and personal honour is sublimated to those of the group. The Morat are very strict, follow rules to the letter and will fight until no soldier is on his feet: for this reason they will not disperse until they accomplish their mission. All the Morat have a racial ability equivalent to the Religious Troop Special Skill. In addition, the presence of Morat troops in an army increases the Retreat! threshold from 60% to 75%.  	 								Combi Rifle	Knife	Pistol												
Iskallers Jump Operators	ca.xcf	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280607-0085-Icon.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\CA\280607-0085.png	C:\Users\u0064666\Documents\GitHub\InfinityTroopCards\ImagesFromCB\Regular.png					6-2	14	12	12	14	3	0	1	2	0	31	AD: Combat Jump, Exrah, Super-Jump, V: Courage	AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 Exrah	Concordat Exrah Operators are the ephemeral branch of the Exrah race. Their keratinous epidermis is softer, which allows them more mobility and personal speed, but makes them vulnerable to radiation, so their life expectancy is very short. Physical damage suffered by the Ephemeral is impossible to cure, as his internal organs, affected by the ambient radiation of their planet and cosmic rays received in their trips, have a very short endurance. Because of this, when an Exrah receives a hit that pierces his ARM, his state directly moves to Dead: he does not suffer the Unconscious state and is automatically removed from the battlefield. Furthermore, the organism of the Exrah is very sensitive to powerful E/M transmitters, which causes them severe internal damage. If an Exrah receives an E/M impact and fails his BTS Roll, he will pass directly to the Dead state and is removed from the game table. Ephemeral Exrah have a superior capacity of movement than would be assumed given their massive aspect: they move better than any other Medium Infantry. They also have short wings, which is powered by their combat keratin and allows them to move in great leaps, conferring the Super Jump Special Skill.  	 Super-Jump	These miniatures are genetically, artificially, or evolutionarily designed to perform jumps of astonishing length and height. This Special Skill works automatically. It allows the miniature to move in a vertical, diagonal, or horizontal jump as many inches as indicated in his MOV, without having to make a PH Roll. Super-Jump is a Special Short Movement Skill that can be combined with other Short Skills. For example, with Super-Jump, the figure can shoot while flying through the air and this will be considered an Order of the Move+BS type. Also, when the miniature moves in a normal way he will be able to avoid any obstacle of his height or less without any Movement restriction. To calculate the Falling Damage taken by miniatures with SuperJump, the sum of both values of his MOV Attribute is subtracted from the distance and the result multiplied by 2.5. For example: a miniature with Super-Jump with MOV 4-4, that jumps from a terrace to the floor from a height of 10 inches will only have to make an ARM Roll against Damage 5 (distance of 10 minus MOV 4+4 = 2, multiplied by 2.5 to give 5).  	 V: Courage	Courage avoids, without spending any Order, the WIP Roll that is compulsory after surviving the impact of a ballistic weapon but the figure does not wish to move to cover (The Guts Roll made after a successful ARM Roll). The figure is not required to keep his position if he does not want to.  	 				Combi Rifle	Light Shotgun	Pistol	Shock CCW											
